date,Amandus - Atheneum,Borgerhout Intra Muros Noord,Borgerhout Intra Muros Zuid,Centraal Station,Deurne Dorp - Gallifort,Deurne Zuid West,Eilandje,Groenenhoek,Historisch Centrum,Linkeroever,Oud - Berchem,Sint-Andries,Stadspark,Theaterbuurt-Meir,Universiteitsbuurt,Zuid,Zurenborg,Haringrode,Markgrave,Stuivenberg,Deurne Noord,Harmonie,Brederode,Deurne Zuid Oost,Deurne Oost,Nieuw - Kwartier West,Borgerhout Extra Muros,Oosterveld - Elsdonk,Hoboken - Centrum,Polder,Petroleum - Zuid,Nieuw - Kwartier Oost,Oud - Merksem,Kiel,Middelheim,Tentoonstellingswijk,Wilrijk Centrum,Merksem - Heide,Hoboken - Noord,Valaar,Ekeren Centrum,Nieuw - Zuid,Tuinwijk,Dam,Hoogte,Leugenberg,Nieuwdreef,Lillo,Donk
2015-01-01,16,5,2,2,4,2,4,1,6,2,1,14,8,1,7,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-01,19,10,5,2,4,3,7,NA,9,1,3,17,4,8,4,8,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-01,24,15,6,NA,2,3,4,NA,13,1,4,21,10,8,7,7,1,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-01,22,24,8,NA,4,4,9,NA,31,1,1,18,21,10,12,5,1,2,NA,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-01,23,19,23,4,NA,5,10,NA,33,NA,4,22,17,9,10,12,4,3,1,2,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01,14,17,17,NA,NA,2,6,NA,26,1,4,21,11,13,11,13,1,1,NA,6,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-01,32,20,32,5,3,6,7,NA,25,2,2,14,16,13,7,13,1,NA,2,3,NA,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-08-01,35,22,30,4,5,5,15,NA,28,1,6,12,14,14,19,10,3,1,3,10,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-09-01,36,20,37,1,3,6,9,NA,41,1,6,13,12,16,9,8,1,3,NA,5,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-01,42,19,35,10,6,6,12,3,53,NA,5,16,18,14,18,15,NA,3,4,5,NA,1,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-01,42,14,48,11,4,12,10,NA,46,1,3,17,16,20,12,15,NA,3,5,4,1,3,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-01,30,9,40,5,5,5,15,NA,48,1,7,14,18,31,32,23,2,4,6,4,NA,5,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-01,34,8,23,3,3,4,13,NA,38,NA,4,17,14,23,38,25,1,1,2,5,NA,3,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-01,22,9,26,11,2,8,14,NA,59,NA,4,8,8,25,43,18,1,4,2,7,NA,1,3,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-01,34,10,35,10,2,12,8,NA,54,1,2,12,4,27,39,18,NA,NA,4,5,NA,1,4,NA,1,1,1,8,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-01,31,10,40,15,5,3,11,NA,61,1,4,17,13,28,53,21,2,2,6,6,NA,NA,9,1,1,2,4,7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-01,27,21,52,19,4,4,11,2,83,1,6,24,16,46,70,33,NA,5,6,7,NA,2,7,NA,1,NA,7,8,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-01,35,13,38,11,1,2,7,3,45,NA,4,14,10,42,39,26,1,3,1,NA,2,3,1,NA,NA,NA,1,NA,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-01,36,22,30,12,3,13,11,3,67,2,9,21,17,40,58,22,NA,4,4,2,NA,8,8,NA,NA,1,5,3,1,NA,2,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-01,50,21,33,23,4,7,16,1,66,1,6,25,20,33,50,19,NA,1,7,2,NA,4,7,NA,1,NA,6,2,2,NA,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-01,54,16,35,20,1,6,8,NA,55,NA,3,19,13,36,54,18,NA,2,4,5,NA,2,4,NA,NA,NA,4,NA,NA,NA,2,NA,NA,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-01,80,27,40,24,2,10,12,NA,77,NA,9,19,22,63,55,29,NA,3,6,8,1,4,2,NA,NA,NA,NA,1,3,1,1,1,3,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-11-01,64,15,44,22,1,7,12,1,63,NA,6,16,11,41,51,20,NA,3,6,8,NA,3,1,NA,NA,NA,3,5,1,NA,2,NA,5,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-01,57,14,33,18,1,11,19,NA,82,NA,12,24,15,44,52,23,3,5,8,8,2,NA,5,NA,NA,NA,5,4,3,NA,1,NA,3,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,56,7,30,9,1,6,19,1,88,1,13,30,9,38,40,18,4,4,10,9,NA,1,1,NA,NA,NA,3,2,5,NA,3,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-02-01,65,13,33,19,1,9,26,NA,89,NA,11,19,19,33,52,16,NA,5,6,9,2,4,8,NA,NA,NA,3,1,3,NA,NA,NA,3,3,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-03-01,79,8,31,22,NA,7,19,4,89,NA,10,25,13,40,52,17,1,2,5,4,2,NA,4,NA,NA,NA,3,3,3,1,1,NA,2,4,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-04-01,97,21,48,29,6,11,53,7,126,NA,20,32,37,76,103,39,5,4,10,10,1,3,5,NA,1,NA,7,2,3,1,1,1,2,6,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA
2017-05-01,94,22,29,32,9,7,34,5,112,NA,10,23,17,62,79,17,1,2,5,3,NA,2,14,1,1,NA,2,NA,1,NA,1,3,6,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-01,78,16,30,23,4,7,21,5,94,NA,7,22,20,54,60,14,2,2,3,3,1,2,12,1,1,NA,5,NA,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
2017-07-01,76,29,40,30,8,11,27,15,127,NA,15,28,36,52,108,36,2,6,3,11,NA,14,12,1,1,NA,9,4,2,1,NA,1,2,3,2,1,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-01,67,17,26,36,10,11,27,13,123,NA,16,32,32,74,81,19,NA,14,NA,11,NA,17,15,3,1,1,12,1,1,1,1,1,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-01,81,12,25,39,6,3,26,7,112,NA,11,23,42,44,68,10,NA,8,NA,10,NA,14,8,1,NA,NA,11,1,1,NA,NA,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-01,88,34,37,63,7,8,31,9,131,1,17,33,33,54,97,25,NA,10,3,22,NA,25,9,2,NA,NA,8,4,3,NA,1,1,2,1,5,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2017-11-01,78,16,30,48,5,6,31,5,105,NA,14,28,26,60,73,26,NA,10,4,18,1,19,7,2,1,NA,5,3,3,NA,1,1,NA,3,4,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
2017-12-01,94,26,30,40,3,8,28,8,167,NA,14,26,40,65,74,33,NA,11,5,28,2,22,15,4,NA,NA,13,4,1,1,2,1,1,1,6,2,1,NA,1,NA,3,NA,7,NA,NA,NA,NA,NA,NA
2018-01-01,57,18,23,35,4,5,24,5,150,NA,10,21,29,41,74,23,NA,13,4,22,NA,15,7,1,NA,1,10,3,4,NA,3,NA,1,1,3,NA,1,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA
2018-02-01,62,24,22,36,5,6,23,8,131,NA,10,33,32,60,84,15,NA,13,5,24,1,19,6,NA,NA,NA,15,1,NA,NA,2,NA,1,1,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-01,91,32,38,45,4,10,32,10,167,2,9,40,35,77,88,29,NA,15,8,24,1,18,8,2,1,1,15,2,3,NA,3,NA,1,1,3,1,1,2,1,1,NA,3,6,NA,NA,NA,NA,NA,NA
2018-04-01,104,32,51,55,2,20,34,7,196,2,17,56,65,98,113,37,3,27,10,31,NA,31,9,2,1,1,22,NA,1,NA,4,NA,2,1,4,4,NA,8,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA
2018-05-01,107,35,39,35,6,16,38,15,189,5,14,45,59,111,115,40,1,20,5,35,NA,27,10,12,NA,NA,22,3,1,2,5,NA,NA,2,3,4,2,11,NA,NA,3,2,NA,2,NA,NA,NA,NA,NA
2018-06-01,119,23,33,57,3,17,27,11,181,5,26,43,37,100,112,34,NA,25,5,31,NA,27,9,9,NA,NA,21,1,3,NA,NA,1,NA,1,1,5,NA,6,NA,NA,1,1,6,1,NA,NA,NA,NA,NA
2018-07-01,120,35,44,64,2,30,38,14,221,8,32,54,38,119,166,43,6,24,16,48,NA,29,17,13,NA,NA,19,7,3,1,4,NA,7,2,6,3,4,5,1,1,1,1,15,2,3,NA,NA,NA,NA
2018-08-01,128,23,50,84,4,19,29,10,215,8,21,68,37,125,140,36,1,23,11,44,NA,23,9,11,NA,NA,21,5,7,NA,1,5,5,8,7,3,8,5,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
2018-09-01,120,30,41,67,5,22,29,11,184,12,17,40,31,116,132,24,4,22,7,36,1,30,7,5,NA,NA,22,4,2,1,2,12,4,7,4,2,2,2,NA,1,4,1,10,4,1,NA,NA,NA,NA
2018-10-01,124,29,37,63,6,21,38,8,226,8,12,56,45,141,116,30,7,24,6,43,NA,27,19,9,7,NA,22,4,3,NA,2,4,10,8,6,2,3,2,NA,1,10,3,14,3,1,NA,NA,NA,NA
2018-11-01,102,45,35,57,6,13,23,7,197,6,14,43,53,109,112,28,5,15,7,41,NA,19,18,11,8,NA,15,1,1,1,1,3,5,5,3,NA,5,2,NA,2,1,7,10,6,4,NA,NA,NA,NA
2018-12-01,141,43,34,67,2,29,40,8,221,12,22,55,57,130,125,40,2,22,7,52,3,37,15,10,9,NA,16,1,NA,NA,NA,3,6,5,2,5,6,3,1,1,2,7,11,7,4,NA,NA,NA,NA
2019-01-01,94,37,22,45,2,16,31,5,210,3,13,47,44,123,118,29,2,16,3,33,NA,44,8,8,4,2,16,1,3,NA,4,5,5,6,1,2,5,6,NA,2,9,5,3,6,2,NA,NA,NA,NA
2019-02-01,111,34,28,54,4,14,25,6,231,5,20,32,40,111,98,30,3,17,3,58,NA,36,14,4,3,3,9,1,2,2,2,4,NA,5,NA,4,7,6,2,NA,8,2,6,4,4,3,NA,NA,NA
2019-03-01,124,51,45,79,4,10,35,9,291,9,27,55,63,145,136,38,1,24,9,61,NA,44,22,2,6,1,19,4,6,NA,NA,7,8,4,3,1,NA,7,2,2,4,7,5,3,9,1,NA,NA,NA
2019-04-01,182,73,55,83,8,24,51,15,340,13,33,78,113,182,134,40,4,27,12,58,NA,51,26,10,4,1,31,2,3,NA,1,8,3,7,6,NA,NA,2,NA,4,11,7,10,10,13,NA,3,NA,NA
